,td_error,s
478,-1.0,0.0
479,-0.9989999999525025,0.0
480,99.0,0.0989999994635582
481,-1.0,0.0
482,-1.0,0.0
483,-1.0,0.0
484,-3.0,0.0
485,-1.0,0.0
486,-1.0,0.0
487,-2.0,0.0
488,-1.0,0.0
489,-1.0,0.0
490,-3.0,0.0
491,-1.0,0.0
492,-1.0,0.0
493,-1.0,0.0
494,-3.0,0.0
495,-1.0,0.0
496,-3.0,0.0
497,-3.0,0.0
498,-1.0,0.0
499,-1.0,0.0
500,-1.0,0.0
501,-1.0,0.0
502,-1.0,0.0
503,-1.0,0.0
504,-1.0,0.0
505,-1.0,0.0
506,-1.0,0.0
507,-1.0,0.0
508,-1.0,0.0
509,-1.0,0.0
510,-1.0,0.0
511,-2.0,0.0
512,-1.0,0.0
513,-1.0,0.0
514,-1.0,0.0
515,-1.0,0.0
516,-1.0,0.0
517,-1.0,0.0
518,-1.0,0.0
519,-1.0,0.0
520,-3.0,0.0
521,-1.0,0.0
522,-1.0,0.0
523,-1.0,0.0
524,-0.9989999999525025,0.0
525,-2.0,0.0
526,-1.0,0.0
527,-3.0,0.0
528,-1.0,0.0
529,-1.0,0.0
530,-1.0,0.0
531,-2.0,0.0
532,-2.0,0.0
533,-1.0,0.0
534,-1.0,0.0
535,-1.0,0.0
536,-1.0,0.0
537,-3.0,0.0
538,-3.0,0.0
539,-1.0,0.0
540,99.0,0.0989999994635582
541,-1.0,0.0
542,-2.0,0.0
543,-0.9980009999126196,0.0
544,-1.0,0.0
545,-0.9970029988326132,0.0
546,-0.9970029988326132,0.0
547,-1.0,-0.0010000000474974513
548,-0.999989999999525,-0.0010000000474974513
549,-0.999989999999525,-0.0010000000474974513
550,-0.996995995711768,-0.0010000000474974513
551,-0.999989999999525,-0.0010000000474974513
552,-0.9970029988326132,-0.0010000000474974513
553,-1.0009900000470224,0.0
554,-0.996995995711768,-0.0010000000474974513
555,-2.9919989970105236,-0.0010000000474974513
556,-1.9949959977122491,-0.0010000000474974513
557,-0.9979929988796357,-0.0010000000474974513
558,-0.999989999999525,-0.0010000000474974513
559,-2.991008996963501,-0.0010000000474974513
560,-2.0,0.0
561,-3.0009900000470227,0.0
562,-0.999989999999525,-0.0019990000873804092
563,-0.9999800099991263,-0.0019990000873804092
564,-0.9960059956647456,-0.0019990000873804092
565,-1.0019790100865067,0.0
566,-0.9999800099991263,-0.0019990000873804092
567,-2.981041906308383,-0.0019990000873804092
568,-0.995009989477694,-0.0019990000873804092
569,-3.0019790100865067,0.0
570,-0.9979850057512523,-0.0019990000873804092
571,-0.9989820089191199,-0.0019990000873804092
572,-0.9999800099991263,-0.0019990000873804092
573,-0.9999800099991263,-0.0019990000873804092
574,-0.9979850057512523,-0.0019990000873804092
575,-0.9999800099991263,-0.0019990000873804092
576,-0.996987020969391,-0.0019990000873804092
577,-0.9999800099991263,-0.0019990000873804092
578,-0.9989800300914795,-0.0019990000873804092
579,-0.9989820089191199,-0.0019990000873804092
580,-0.9999800099991263,-0.0019990000873804092
581,-0.9999800099991263,-0.0019990000873804092
582,-0.9959939894266427,-0.0019990000873804092
583,-0.995009989477694,-0.0019990000873804092
584,-1.9999790099915118,0.0
585,-0.9999790200032295,-0.0019990000873804092
586,-0.9999800099991263,-0.0019990000873804092
587,-0.9999800099991263,-0.0019990000873804092
588,-0.9999800099991263,-0.0019990000873804092
589,-0.9989800300914795,-0.0019990000873804092
590,-0.9999800099991263,-0.0019999900832772255
591,-0.9950009545031935,-0.0019999900832772255
592,-2.9929889871459454,-0.0019999900832772255
593,-0.99798598584719,-0.0019999900832772255
594,-0.9999800000991672,-0.0019999900832772255
595,-0.9989810101874173,-0.0019999900832772255
596,-0.9999800000991672,-0.0019999900832772255
597,-0.9969889896642417,-0.0019999900832772255
598,-0.99798598584719,-0.0019999900832772255
599,-0.9999800000991672,-0.0019999900832772255
600,-0.997984006786719,-0.0019999900832772255
601,-1.9939919815119356,-0.0019999900832772255
602,-0.9989810101874173,-0.0019999900832772255
603,-0.9950009545031935,-0.0019999900832772255
604,-0.9989800201915204,-0.0019999900832772255
605,-0.9979820300545543,-0.0019999900832772255
606,-0.9999800000991672,-0.0020000000949949026
607,-0.9969880095799453,-0.0020000000949949026
608,-0.9979810499702579,-0.0020000000949949026
609,-1.99997999999905,-0.0029970011673867702
610,-0.9999680511606857,-0.0029970011673867702
611,-0.9970029988326132,-0.0029970011673867702
612,-1.0029670311557128,0.0
613,-0.9989690700965002,-0.0029970011673867702
614,-0.9999700299883261,-0.0029970011673867702
615,-0.9999670611647888,-0.0029970011673867702
616,-0.9999700299883261,-0.0029970011673867702
617,-0.9969780551688745,-0.0029970011673867702
618,-0.9999700299883261,-0.0029970011673867702
619,-0.996979041439481,-0.0029970011673867702
