,episode,results,return,goal
516,517,"(177.0, 13, True)",177.0,True
517,518,"(177.0, 13, True)",177.0,True
518,519,"(178.0, 12, True)",178.0,True
519,520,"(179.0, 12, True)",179.0,True
520,521,"(175.0, 15, True)",175.0,True
521,522,"(180.0, 12, True)",180.0,True
522,523,"(182.0, 10, True)",182.0,True
523,524,"(182.0, 10, True)",182.0,True
524,525,"(181.0, 11, True)",181.0,True
525,526,"(45.0, 131, True)",45.0,True
526,527,"(176.0, 14, True)",176.0,True
527,528,"(177.0, 14, True)",177.0,True
528,529,"(181.0, 11, True)",181.0,True
529,530,"(179.0, 12, True)",179.0,True
530,531,"(176.0, 15, True)",176.0,True
531,532,"(182.0, 10, True)",182.0,True
532,533,"(179.0, 13, True)",179.0,True
533,534,"(177.0, 14, True)",177.0,True
534,535,"(180.0, 12, True)",180.0,True
535,536,"(178.0, 14, True)",178.0,True
536,537,"(182.0, 12, True)",182.0,True
537,538,"(181.0, 11, True)",181.0,True
538,539,"(177.0, 13, True)",177.0,True
539,540,"(179.0, 13, True)",179.0,True
540,541,"(182.0, 10, True)",182.0,True
541,542,"(173.0, 17, True)",173.0,True
542,543,"(179.0, 12, True)",179.0,True
543,544,"(176.0, 15, True)",176.0,True
544,545,"(177.0, 14, True)",177.0,True
545,546,"(175.0, 14, True)",175.0,True
546,547,"(172.0, 19, True)",172.0,True
547,548,"(176.0, 14, True)",176.0,True
548,549,"(168.0, 17, True)",168.0,True
549,550,"(176.0, 17, True)",176.0,True
550,551,"(166.0, 20, True)",166.0,True
551,552,"(177.0, 14, True)",177.0,True
552,553,"(182.0, 10, True)",182.0,True
553,554,"(177.0, 13, True)",177.0,True
554,555,"(176.0, 13, True)",176.0,True
555,556,"(173.0, 17, True)",173.0,True
556,557,"(175.0, 15, True)",175.0,True
557,558,"(179.0, 12, True)",179.0,True
558,559,"(175.0, 16, True)",175.0,True
559,560,"(178.0, 12, True)",178.0,True
560,561,"(174.0, 17, True)",174.0,True
561,562,"(178.0, 12, True)",178.0,True
562,563,"(183.0, 11, True)",183.0,True
563,564,"(177.0, 15, True)",177.0,True
564,565,"(182.0, 10, True)",182.0,True
565,566,"(-173.0, 278, True)",-173.0,True
566,567,"(178.0, 13, True)",178.0,True
567,568,"(179.0, 12, True)",179.0,True
568,569,"(180.0, 12, True)",180.0,True
569,570,"(177.0, 13, True)",177.0,True
570,571,"(179.0, 14, True)",179.0,True
571,572,"(169.0, 17, True)",169.0,True
572,573,"(182.0, 10, True)",182.0,True
573,574,"(169.0, 19, True)",169.0,True
574,575,"(174.0, 16, True)",174.0,True
575,576,"(-552.0, 705, True)",-552.0,True
576,577,"(168.0, 17, True)",168.0,True
577,578,"(-728.0, 632, True)",-728.0,True
578,579,"(175.0, 14, True)",175.0,True
579,580,"(179.0, 13, True)",179.0,True
580,581,"(182.0, 10, True)",182.0,True
